Fecha,Último
2020-01-01,3287.23
2020-01-02,3254
2020-01-03,3254
2020-01-06,3246.21
2020-01-07,3262.5
2020-01-08,3247
2020-01-09,3255.5
2020-01-10,3272.2
2020-01-13,3270.75
2020-01-14,3288.6
2020-01-15,3297
2020-01-16,3322.85
2020-01-17,3332.5
2020-01-20,3332.5
2020-01-21,3356.1
2020-01-22,3331.5
2020-01-23,3360
2020-01-24,3365
2020-01-27,3400.9
2020-01-28,3393
2020-01-29,3387.5
2020-01-30,3410.5
2020-01-31,3420
2020-02-03,3395.5
2020-02-04,3362.1
2020-02-05,3364.8
2020-02-06,3379.77
2020-02-07,3416
2020-02-10,3456.5
2020-02-11,3420.35
2020-02-12,3388
2020-02-13,3376.5
2020-02-14,3391.5
2020-02-17,3397.22
2020-02-18,3403.9
2020-02-19,3385.5
2020-02-20,3404.4
2020-02-21,3381
2020-02-24,3430.2
2020-02-25,3436.5
2020-02-26,3458
2020-02-27,3502
2020-02-28,3527
2020-03-02,3462
2020-03-03,3463.22
2020-03-04,3476
2020-03-05,3537
2020-03-06,3589.25
2020-03-09,3813.01
2020-03-10,3765
2020-03-11,3891.5
2020-03-12,4028
2020-03-13,4031
2020-03-16,4080
2020-03-17,3998.5
2020-03-18,4158
2020-03-19,4089.22
2020-03-20,4118
2020-03-23,4180
2020-03-24,4111.88
2020-03-25,4066
2020-03-26,3981
2020-03-27,4025
2020-03-30,4063
2020-03-31,4060
2020-04-01,4087
2020-04-02,4039
2020-04-03,4029
2020-04-06,3981.36
2020-04-07,3906
2020-04-08,3899.01
2020-04-09,3830.44
2020-04-10,3827
2020-04-13,3868.35
2020-04-14,3851
2020-04-15,3916.47
2020-04-16,3975.4
2020-04-17,3936.25
2020-04-20,3974.8
2020-04-21,4045.42
2020-04-22,4030.21
2020-04-23,4019.76
2020-04-24,4043
2020-04-27,4057.36
2020-04-28,4035.26
2020-04-29,3921.5
2020-04-30,3960.05
2020-05-01,3959
2020-05-04,3985.31
2020-05-05,3929.99
2020-05-06,3962.26
2020-05-07,3920.89
2020-05-08,3893
2020-05-11,3894.41
2020-05-12,3881.01
2020-05-13,3910.01
2020-05-14,3940.06
2020-05-15,3911.28
2020-05-18,3852.5
2020-05-19,3836
2020-05-20,3813.55
2020-05-21,3767.88
2020-05-22,3775.03
