Fecha,banano,flores,total_sector_agro,oro,esmeraldas,total_sector_minero,textil,quimicos,papel,cuero ,alimentos,total_sector_industrial
1970-01-01,0,0,3.7,0,0.3,1.5,3.7,0.6,0.2,0.5,2.1,8.9
1970-02-01,0,0,4.6,0,0.3,1.7,4.5,0.8,0.3,0.6,2.6,10.8
1970-03-01,0,0,5.6,0,0.4,2.1,5.6,0.9,0.4,0.8,3.2,13.4
1970-04-01,0,0,4.3,0,0.3,1.7,4.4,0.7,0.3,0.6,2.5,10.5
1970-05-01,0,0,5.4,0,0.4,2.1,5.3,0.9,0.4,0.8,3.1,13
1970-06-01,0,0,4,0,0.3,1.6,4,0.7,0.3,0.6,2.3,9.8
1970-07-01,0,0,3.8,0,0.3,1.5,3.8,0.6,0.3,0.5,2.2,9.3
1970-08-01,0,0,4.3,0,0.3,1.6,4.2,0.7,0.3,0.6,2.4,10.2
1970-09-01,0,0,5,0,0.3,1.8,4.9,0.8,0.3,0.7,2.8,11.9
1970-10-01,0,0,2.7,0,0.2,1,2.7,0.4,0.2,0.4,3.2,8.1
1970-11-01,0,0,3.7,0,0.3,1.4,3.6,0.6,0.2,0.5,2.1,8.7
1970-12-01,0,0,4.3,0,0.3,1.6,4.3,0.7,0.3,0.6,2.5,10.4
1971-01-01,1.1,0.1,5,0,0.1,1,2.8,0.8,0.3,0.6,0.9,7.2
1971-02-01,1,0.1,3.4,0,0.4,0.5,2.4,0.8,0.4,0.3,2.1,7.3
1971-03-01,1.1,0.2,6.4,0,0.3,1.8,6.6,1,0.4,0.8,2.9,14.5
1971-04-01,1.6,0.1,5,0,0.3,0.6,8.2,1.1,0.4,0.6,4.8,18.3
1971-05-01,1.3,0.2,4,0,0.3,1.2,8.3,1.2,0.3,0.7,5.6,19
1971-06-01,1.2,0.1,4.1,0,0.8,1.2,6.1,1.6,0.3,0.8,2.3,13.3
1971-07-01,1.3,0.1,3.2,0,0.4,0.9,1.9,0.5,0.1,0.3,1.3,5.5
1971-08-01,1.2,0.1,4.9,0,0.5,1.6,2.8,1.2,0.5,1,2.4,10.3
1971-09-01,1,0.2,5.2,0,0.3,1.2,4.3,1.4,0.4,0.7,3.8,14.3
1971-10-01,1.1,0.2,5.5,0,0.2,1.9,3.2,1.6,0.6,0.7,0.7,9.7
1971-11-01,1.3,0.1,4.8,0,1,1.5,5.1,1.1,0.5,0.8,1.6,19.6
1971-12-01,1.4,0.3,6.2,0,1.5,1.7,2.4,1.5,0.4,1.2,4.9,13.5
1972-01-01,1.4,0.1,5.8,0,0.5,0.8,3.6,1.3,0.4,0.7,3.1,11.7
1972-02-01,1.3,0.2,4.6,0,1,1.3,2.9,1.3,0.2,0.9,2.1,9.9
1972-03-01,1.1,0.3,4.7,0,3.5,4.5,11.3,1.5,0.4,1.3,5.5,22.3
1972-04-01,1.1,0.3,6.5,0,2.7,3,11.9,1.6,0.5,1.4,3.6,22.3
1972-05-01,1,0.3,4.3,0,5.1,5.9,7.3,1.1,0.5,1.4,4.2,17
1972-06-01,1.1,0.2,5.9,0,5.2,5.9,10.7,1.5,0.4,2.2,5.7,24.8
1972-07-01,1,0.1,8.3,0,4.8,7.9,7.5,2,0.6,1.6,3.3,19.1
1972-08-01,0.8,0.2,8.1,0,4.7,6.1,7.6,1.7,0.8,1.7,4.3,20.3
1972-09-01,1.3,0.3,4.8,0,5.8,6.3,5.2,1.8,0.9,1.8,4.2,17.2
1972-10-01,1.2,0.3,7.6,0,3.4,4.2,9.9,2.7,0.8,2.1,3.9,23.1
1972-11-01,0,0.3,6.3,0,4.6,6.6,7.9,2.3,0.8,2.8,4.4,21.9
1972-12-01,2.4,0.5,8.4,0,4.8,6,5.1,1.8,3.8,3.4,8.8,28.1
1973-01-01,1.1,0.6,6.9,0,5.4,6.4,5.3,1.7,0.9,2.2,3.4,17
1973-02-01,1.1,0.3,7,0,3.4,5.8,6.3,1.8,0.6,1.4,7.2,20.6
1973-03-01,1.2,0.5,8.2,0,4,4.7,7.8,1.8,0.8,2.1,7.9,25.6
1973-04-01,1.1,0.8,8.4,0,6.1,7,14.1,2.9,1,3,4.9,30.9
1973-05-01,1,0.8,7.1,0,9.7,10.2,5.5,2.4,1,3.4,3.3,19.7
1973-06-01,1.1,0.4,6.8,0,6.5,7.7,11.3,3.1,1.2,2.1,4.6,27.8
1973-07-01,1.4,1,6.9,0,8.4,10.4,9.6,3.8,0.9,2.3,1.6,24.9
1973-08-01,1.6,0.4,8.4,0,13.4,15,7.9,3.1,0.7,2.7,4.9,26.8
1973-09-01,1.5,0.7,8.3,0,9.4,12.3,9.2,4.2,0.8,2.4,3.3,27.4
1973-10-01,1.5,0.6,7.9,0,6.2,8.6,13.1,5.1,1.2,2,3.9,36.5
1973-11-01,1.7,1.2,9.9,0,4.6,5.8,13.4,3.4,0.8,2.4,1.3,31.3
1973-12-01,1.2,0.9,10.6,0,3.2,6.6,11.1,3.6,0.8,3.9,7.1,33.5
1974-01-01,1.6,1.7,10.9,0,0.7,1,8.7,4.3,1.2,2.6,0.7,29.2
1974-02-01,1.1,2,21.7,0,0.4,1.5,9.3,5.3,0.9,1.8,0.8,28.6
1974-03-01,1.9,1,21.1,0,0.4,2.2,14.2,5.5,0.6,2.4,0.5,34.7
1974-04-01,1.3,1.1,12.7,0,0.4,4,13.2,3.4,0.8,1.5,1.9,28.3
1974-05-01,2.2,1.6,11.4,0,0.1,2.1,15.2,7.1,1,1.7,5.2,42.3
1974-06-01,2.1,1.3,12.8,0,0.3,3.5,16.1,7.9,0.9,1.9,3.6,41.8
