Periodo,Azucar
1995-01-01,179712
1995-02-01,186151
1995-03-01,188408
1995-04-01,123473
1995-05-01,170266
1995-06-01,168927
1995-07-01,182420
1995-08-01,199119
1995-09-01,189389
1995-10-01,163727
1995-11-01,158211
1995-12-01,147899
1996-01-01,166172
1996-02-01,168295
1996-03-01,174564
1996-04-01,112499
1996-05-01,172187
1996-06-01,165433
1996-07-01,199514
1996-08-01,227164
1996-09-01,216748
1996-10-01,204366
1996-11-01,190076
1996-12-01,152205
1997-01-01,130083
1997-02-01,171844
1997-03-01,136258
1997-04-01,153741
1997-05-01,162765
1997-06-01,168547
1997-07-01,217916
1997-08-01,227596
1997-09-01,212771
1997-10-01,208878
1997-11-01,178995
1997-12-01,166801
1998-01-01,158189
1998-02-01,185085
1998-03-01,191229
1998-04-01,114844
1998-05-01,151910
1998-06-01,164941
1998-07-01,190094
1998-08-01,208940
1998-09-01,197618
1998-10-01,210492
1998-11-01,176402
1998-12-01,175829
1999-01-01,167141
1999-02-01,168819
1999-03-01,191929
1999-04-01,145444
1999-05-01,161511
1999-06-01,182632
1999-07-01,219072
1999-08-01,228579
1999-09-01,206312
1999-10-01,206746
1999-11-01,185427
1999-12-01,177218
2000-01-01,192275
2000-02-01,197196
2000-03-01,202839
2000-04-01,153159
2000-05-01,174318
2000-06-01,198489
2000-07-01,218756
2000-08-01,236206
2000-09-01,218078
2000-10-01,221926
2000-11-01,201326
2000-12-01,176690
2001-01-01,165613
2001-02-01,179919
2001-03-01,196960
2001-04-01,119574
2001-05-01,134117
2001-06-01,150770
2001-07-01,213324
2001-08-01,241037
2001-09-01,228566
2001-10-01,243292
2001-11-01,211343
2001-12-01,157047
2002-01-01,185732
2002-02-01,199924
2002-03-01,197863
2002-04-01,186831
2002-05-01,198616
2002-06-01,201946
2002-07-01,236762
2002-08-01,243133
2002-09-01,247140
2002-10-01,238876
2002-11-01,204961
2002-12-01,189548
2003-01-01,213823
2003-02-01,220165
2003-03-01,244067
2003-04-01,180650
2003-05-01,216764
2003-06-01,197799
2003-07-01,238765
2003-08-01,248048
2003-09-01,243876
2003-10-01,228554
2003-11-01,198841
2003-12-01,214954
2004-01-01,192053
2004-02-01,233067
2004-03-01,257068
2004-04-01,194485
2004-05-01,210850
2004-06-01,226964
2004-07-01,249429
2004-08-01,258702
2004-09-01,250246
2004-10-01,239128
2004-11-01,200688
2004-12-01,228096
2005-01-01,219269
2005-02-01,224928
2005-03-01,240351
2005-04-01,239068
2005-05-01,186155
2005-06-01,184446
2005-07-01,240826
2005-08-01,259875
2005-09-01,262103
2005-10-01,234609
2005-11-01,201349
2005-12-01,190278
2006-01-01,179919
2006-02-01,206898
2006-03-01,211444
2006-04-01,163502
2006-05-01,165715
2006-06-01,152046
2006-07-01,222004
2006-08-01,247684
2006-09-01,248435
2006-10-01,242633
2006-11-01,195976
2006-12-01,177481
2007-01-01,180627
2007-02-01,196064
2007-03-01,213111
2007-04-01,134102
2007-05-01,130246
2007-06-01,174515
2007-07-01,221248
2007-08-01,239959
2007-09-01,237423
2007-10-01,210190
2007-11-01,177392
2007-12-01,162717
2008-01-01,172996
2008-02-01,177024
2008-03-01,209757
2008-04-01,155320
2008-05-01,133139
2008-06-01,168429
2008-07-01,211633
2008-08-01,228541
2008-09-01,146941
2008-10-01,81425
2008-11-01,146312
2008-12-01,204083
2009-01-01,198934
2009-02-01,207733
2009-03-01,215286
2009-04-01,186410
2009-05-01,188738
2009-06-01,207361
2009-07-01,232673
2009-08-01,257653
2009-09-01,244234
2009-10-01,244194
2009-11-01,210773
2009-12-01,203286
2010-01-01,202239
2010-02-01,191084
2010-03-01,205979
2010-04-01,125698
2010-05-01,125069
2010-06-01,153523
2010-07-01,176899
2010-08-01,213822
2010-09-01,214135
2010-10-01,218020
2010-11-01,118165
2010-12-01,133796
2011-01-01,199659
2011-02-01,192055
2011-03-01,209961
2011-04-01,145733
2011-05-01,181176
2011-06-01,195546
2011-07-01,228691
2011-08-01,245228
2011-09-01,245170
2011-10-01,205458
2011-11-01,163772
2011-12-01,127315
2012-01-01,157496
2012-02-01,203720
2012-03-01,214602
2012-04-01,142193
2012-05-01,113933
2012-06-01,217196
2012-07-01,257355
2012-08-01,238795
2012-09-01,238126
2012-10-01,178639
2012-11-01,109439
2012-12-01,127337
2013-01-01,143066
2013-02-01,158711
2013-03-01,151303
2013-04-01,139197
2013-05-01,82836
2013-06-01,188863
2013-07-01,243730
2013-08-01,260259
2013-09-01,258522
2013-10-01,244792
2013-11-01,190747
2013-12-01,184931
2014-01-01,177469
2014-02-01,191976
2014-03-01,200598
2014-04-01,179883
2014-05-01,129352
2014-06-01,195655
2014-07-01,237415
2014-08-01,263714
2014-09-01,251873
2014-10-01,226973
2014-11-01,158069
2014-12-01,196869
2015-01-01,168886
2015-02-01,198621
2015-03-01,200787
2015-04-01,168035
2015-05-01,138521
2015-06-01,203120
2015-07-01,235671
2015-08-01,245643
2015-09-01,240120
2015-10-01,222950
2015-11-01,155685
2015-12-01,176042
2016-01-01,168781
2016-02-01,181305
2016-03-01,178359
